Q1	60.54	40.38	0.00	20V/4.2A/52mΩ/1.4W	ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2	63.57	37.57	90.00	ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R1	89.16	44.32	0.00	10K	CPF0201D7K68C1_0201
R10	68.61	40.00	270.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R11	58.00	38.05	270.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R12	68.74	38.27	270.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R13	82.47	37.69	270.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R14	71.59	58.64	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R15	67.37	58.01	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R2	77.63	41.93	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R3	77.61	41.03	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R4	77.20	39.87	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R5	77.15	39.01	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R6	59.43	56.77	0.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R7	57.90	39.39	0.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R8	72.98	40.86	270.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
R9	68.55	40.58	90.00	CPF0201D7K68C1_CPF0201D7K68C1	CPF0201D7K68C1_0201
SJ1	64.59	34.21	0.00	0	ESP32_C6_LIBRARY_7_JUMPER_SJ
SW1	69.85	35.78	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW2	81.11	35.78	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW3	59.10	35.78	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3V3	90.80	38.64	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	76.94	36.29	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	70.06	51.61	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA1	90.84	51.87	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA10	85.98	34.77	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA2	83.46	45.86	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA3	86.43	48.89	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA4	78.26	46.10	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA5	69.67	57.46	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA6	90.84	46.13	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA7	74.55	36.28	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA8	70.68	40.44	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA9	88.74	36.28	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	90.84	42.72	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U1	88.11	41.88	180.00	ESP32_C6_LIBRARY_MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	84.32	58.36	180.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
X2	72.77	53.08	90.00	32.768KHz	NORDIC_NRF_1_XTAL_3215_N
